role,force,is_technological,is_physical,is_leadership
eshkol operations and intelligence_marine control operator,navy,yes,yes,no
eshkol operations and intelligence_daily intelligence researcher,navy,no,no,no
eshkol operations and intelligence_operations room worker,general,no,no,no
eshkol operations and intelligence_information security coordinator,general,yes,no,no
eshkol operations and intelligence_intelligence observer,ground,yes,no,no
eshkol of computer professions_cluster computer professions,general,yes,no,no
eshkol of computer professions_soldier of computer professions,general,yes,no,no
eshkol of computer professions_communications professions soldier,general,yes,no,no
eshkol human resource management functions_responsible for mishan reserve,general,no,no,no
eshkol human resource management functions_responsible for regular manan,general,no,no,no
eshkol human resource management functions_responsible for casualties,general,no,no,no
eshkol human resource management functions_responsible for planning as,general,no,no,no
eshkol human resource management functions_hub and recruitment wave to run,general,no,no,no
eshkol human resource management functions_information coordinator,general,no,no,no
eshkol human resource management functions_public inquiries coordinator,general,no,no,no
eshkol human resource management functions_coordinator of service terms,general,no,no,no
eshkol of clerical roles and assistance_soldier in the ministry of defense,general,no,no,no
eshkol of clerical roles and assistance_responsible for metadata,general,no,no,no
eshkol of clerical roles and assistance_responsible volunteers,general,no,no,no
eshkol of clerical roles and assistance_service representative,general,no,no,no
eshkol of clerical roles and assistance_clerk,general,no,no,no
eshkol of clerical roles and assistance_the lodge of a secretary,general,no,no,no
eshkol of clerical roles and assistance_legal registration,general,no,no,no
eshkol of clerical roles and assistance_graphic sketched,general,yes,no,no
eshkol of medical roles_nurse,ground,no,yes,no
eshkol of medical roles_front medic,ground,no,yes,no
eshkol of medical roles_medical instructor,ground,no,no,yes
eshkol of medical roles_responsible for medical services,ground,no,no,no
eshkol of medical roles_dentist assistant,general,no,no,no
eshkol of medical roles_works for medical laboratory,general,yes,no,no
eshkol of medical roles_paramedic,ground,no,yes,no
eshkol policing roles_senior personal security,ground,no,yes,no
eshkol policing roles_motorbike policewoman,ground,no,yes,no
eshkol policing roles_soldier in the service of houses,general,no,no,no
eshkol policing roles_police soldier shaham,ground,no,no,no
eshkol policing roles_border control soldier,ground,no,yes,no
eshkol policing roles_border guard patrol,ground,no,yes,no
eshkol policing roles_intelligence coordinator and investigations,general,no,no,no
eshkol policing roles_military policewoman,general,no,yes,no
training and command at all arms_physical training instructor,ground,no,yes,yes
training and command at all arms_professional education,general,no,no,yes
training and command at all arms_intelligence in the technological force,general,yes,no,yes
training and command at all arms_erp instructor,general,yes,no,yes
training and command at all arms_fighting training instructor,ground,no,yes,yes
training and command at all arms_air protection instructor,air,yes,no,yes
training and command at all arms_logistics forces instructor,general,no,no,yes
training and command at all arms_communications force instructor,general,yes,no,yes
training and command at all arms_field units instructor,air,no,yes,yes
training and command at all arms_dark simulator instructor,general,yes,no,yes
training and command at all arms_intelligent simulator instructor,navy,yes,no,yes
training and command at all arms_home front command,general,no,no,no
training and command at all arms_contact instructor,ground,no,no,no
training and command at all arms_instructor shob,ground,yes,no,yes
training and command at all arms_sher-el instructor,general,yes,no,yes
training and command at all arms_boot camp instructor,ground,no,yes,yes
dedicated track_officer in the technological force,general,yes,yes,yes
dedicated track_logistics officer,general,no,yes,yes
dedicated track_operations officer in the air force,air,yes,yes,yes
dedicated track_home front command,general,no,yes,yes
dedicated track_office of human resources,general,no,yes,yes
dedicated track_system communications officer,general,yes,yes,yes
dedicated track_combat communications officer,general,yes,yes,yes
martial roles_marine fighting officer,navy,yes,yes,yes
martial roles_marine fighting,navy,yes,yes,yes
